year,wgt_total, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20
2005,1376099567.35668,0,132835487.8037,13722516.4703039,67828301.5359835,68896242.0472233,748491364.400274,110508087.129687,42321866.4466484,71369699.4981389,53520515.8482918,32335066.8838817,17985654.3434229,8018893.87566422,5440948.66393997,0,611363.805046411,758934.378678303,1454624.22580008,0,0
2007,942721554.144225,0,127260889.417433,17232946.9541126,118933394.671328,14972888.7856156,55540840.2574129,37938277.977556,450370163.521793,47538790.6542512,25753928.2973632,20102555.4781407,10728470.8966918,10464563.5096707,4444042.97221885,716991.686934142,261781.954661553,461027.109042846,0,0,0
2009,1502273172.04261,0,4390889.25648749,349580047.136772,610831392.23099,36046314.2871647,141686068.518638,20628099.4524131,30655283.7158585,39905855.4078353,153865541.398096,65128941.7915193,27899704.5464437,6085754.93223022,10667936.2851261,1585238.00307737,3316105.07996038,0,0,0,0
2011,674574792.337275,0,138136870.282505,380911623.111247,26175527.7707141,27101245.299021,33377726.8845065,7314454.0171181,8343640.53172208,3844292.68504176,5927451.83586046,7556623.838554,25079984.5066313,7062718.85809881,2984683.58540892,392851.406137484,196230.254607977,168867.470100889,0,0,0
2012,1279421079.94274,0,614777569.194153,146045258.305285,275030354.379773,39339595.7908842,65666941.0227067,43429766.0114038,26393436.8188546,9152548.30870067,6432420.60829319,6990488.43052256,11491746.196517,21636951.7357846,11055214.6753892,1222196.71797461,0,756591.746493413,0,0,0
2013,1929235086.17072,0,44867583.9177529,1325674572.90302,116368969.031961,189998582.293218,24261840.8706532,59902427.0207661,75406930.0408166,20071734.8050866,17726723.9581583,3018394.635527,4560033.13021989,12318832.6299597,23535187.002413,7697849.74532416,2655684.67439505,572798.928982813,596940.582467029,0,0
2015,2155853128.75659,0,121211502.468905,154877865.738191,86267659.1535715,1263700253.35295,123852951.043935,205713559.821448,46558834.2686192,46065276.116454,46255369.0840203,28660186.5435366,3096540.99196194,7038269.36273021,2027094.26824063,4711617.35373331,11289943.8914828,3999480.01451385,526725.282298746,0,0
2017,1417811454.4723,0,7550473.55928259,608728967.9166,40422133.6897008,58825235.6838929,58753289.0545092,421293059.99582,65543932.5476579,59941711.0132186,19822095.0167324,20571754.2167844,28491899.6974363,12625364.0087823,7957675.02026831,2921498.93042066,0,0,2814882.70576276,0,1547481.41542944
2019,1718027230.72595,0,129382078.051783,390148550.013472,27033914.4672965,542840557.716311,48751787.8829294,64855788.9134366,56685378.377999,341924423.075592,51561336.9263402,26126474.8558354,7688379.67715884,8422366.85863983,13122184.8467473,6623689.68467879,0,2200749.91822332,659569.459509828,0,0
2021,1524641363.44774,0,104006143.525957,89455597.7038555,209160536.776288,412936032.843548,53654549.0744848,311275507.104768,53305416.1462881,34392125.7008092,33737451.977338,171786327.982928,26730999.3633965,5619936.57440239,3846284.31991947,7803736.99043296,1197967.81967745,4332877.03525591,1399872.50838714,0,0
2023,907093369.431225,0,336383976.062907,251670785.186326,11862451.6768554,14253380.2637451,36443596.7151977,100714634.236826,12397395.9077008,68921069.4497717,9929977.53645401,7913329.03120292,9333050.53474313,33074092.6700471,6455960.10170234,5018171.57883276,1362114.55254207,307405.027453701,1051978.8989165,0,0
