year,ft_weight,ss_weight,jv_weight,total_weight
2007,14120.63,52648.73,6820.39,73589.75
2008,13214.36,57795.29,3592.28,74601.92
2009,13223.19,44130.18,0,57353.37
2010,13572.71,35361.59,8081.45,57015.75
2011,14595.82,31760.34,9716.61,56072.77
2012,14912.15,32147.07,0,47059.23
2013,18583.72,33665.36,0,52249.08
2014,21792.04,13326.18,0,35118.22
2015,22908.98,16774.99,0,39683.97
2016,34731.05,35011.79,0,69742.85
2017,37686.08,43427.15,5607.52,86720.74
2018,41941.98,50747.15,2723.71,95412.85
2019,54218.46,40794.42,0,95012.88
2020,62403.97,30084.99,0,92488.96
2021,45807.29,11268.54,0,57075.82
2022,27803.13,3867.54,0,31670.67
2023,20295.54,3721.89,0,24017.43
2024,2742.2,1185.44,0,3927.64
