Year,U.S. Foreign (hauls),U.S. Joint-venture (hauls),U.S. Mothership (hauls),U.S. Combined Mothership Catcher-processor (hauls),U.S. Catcher-processor (hauls),U.S. Shore-based (trips),Canada Foreign (hauls),Canada Joint-venture (hauls),Canada Shoreside (trips),Canada Freezer trawlers (hauls),U.S. Shoreside (trips)
1975,13,,,,,,,,,,
1976,142,,,,,,,,,,
1977,320,,,,,,,,,,
1978,336,5,,,,,,,,,
1979,99,17,,,,,,,,,
1980,191,30,,,,,,,,,
1981,113,41,,,,,,,,,
1982,52,118,,,,,,,,,
1983,,117,,,,,,,,,
1984,49,74,,,,,,,,,
1985,37,19,,,,,,,,,
1986,88,32,,,,,,,,,
1987,22,34,,,,,,,,,
1988,39,42,,,,,,3,,,
1989,,77,,,,,,3,,,
1990,,143,,,,15,,5,,,
1991,,,,116,,26,,18,,,
1992,,,,164,,46,,33,,,
1993,,,,108,,36,,25,3,,
1994,,,,143,,50,,41,1,,
1995,,,,61,,51,,35,3,,
1996,,,,123,,35,,28,1,,
1997,,,,127,,65,,27,1,,
1998,,,,149,,64,,21,9,,
1999,,,,389,,80,,14,26,,
2000,,,,413,,91,,25,1,,
2001,,,,429,,82,,28,1,,
2002,,,,342,,71,,,36,,
2003,,,,358,,78,,,21,,
2004,,,,381,,72,,20,28,,
2005,,,,499,,58,,11,31,14,
2006,,,,549,,83,,21,21,46,
2007,,,,524,,68,,1,7,29,
2008,,,324,,356,63,,,20,31,
2009,,,316,,278,65,,,7,19,
2010,,,443,,331,,,,2,9,75
2011,,,481,,506,,,,1,4,81
2012,,,299,,332,,,,38,51,76
2013,,,409,,474,,,,4,61,96
2014,,,423,,557,,,,28,28,68
2015,,,203,,431,,,,6,21,84
2016,,,502,,671,,,,19,40,76
2017,,,353,,684,,,,68,76,112
2018,,,414,,569,,,,43,91,92
2019,,,307,,566,,,,33,103,129
2020,,,192,,433,,,,32,,99
2021,,,186,,409,,,,,2,124
2022,,,299,,472,,,,22,16,109
2023,,,127,,391,,,,12,14,76
2024,,,51,,192,,,,21,8,59
