year,start.date,end.date,vessels,hauls.with.samples
1995,1-Jul,1-Sep,Miller-Freeman Ricker,69
1998,6-Jul,27-Aug,Miller-Freeman Ricker,105
2001,15-Jun,18-Aug,Miller-Freeman Ricker,57
2003,29-Jun,1-Sep,Ricker,71
2005,20-Jun,19-Aug,Miller-Freeman,47
2007,20-Jun,21-Aug,Miller-Freeman,69
2009,30-Jun,7-Sep,Miller-Freeman Ricker,72
2011,26-Jun,10-Sep,Bell-Shimada Ricker,46
2012,23-Jun,7-Sep,Bell-Shimada Ricker F/V-Forum-Star,94
2013,13-Jun,11-Sep,Bell-Shimada Ricker,67
2015,15-Jun,14-Sep,Bell-Shimada Ricker,78
2017,22-Jun,13-Sep,Bell-Shimada Nordic-Pearl,58
2019,13-Jun,15-Sep,Bell-Shimada Nordic-Pearl,75
2021,27-Jun,24-Sep,Bell-Shimada Nordic-Pearl,65
2023,23-Jun,6-Sep,Bell-Shimada John-Franklin,64
