,USresearch,USshore
1981,NA,838.479558011611
1982,NA,1022.80226082412
1983,NA,1050.79616755452
1984,NA,2720.67561386084
1985,NA,3894.02110008288
1986,NA,3431.94362611593
1987,NA,4795.30369692025
1988,NA,6867.42477494856
1989,NA,7413.59444093883
1990,NA,9632.37372571275
1991,NA,23969.9958263152
1992,NA,56127.2491162229
1993,NA,42107.8619795709
1994,NA,73616.2677129748
1995,NA,74961.9492700297
1996,NA,85127.7526128259
1997,NA,87416.0989058526
1998,NA,87856.1134422181
1999,NA,83470.2905751734
2000,NA,85853.8156521319
2001,NA,73411.644483626
2002,NA,45707.6603886066
2003,NA,55334.9996926005
2004,NA,96503.4074176378
2005,NA,109052.237702251
2006,0.0498951607418416,127164.999332176
2007,0.00453592370380378,91441.2141570515
2008,NA,67860.9232003616
2009,NA,49222.3298142065
2010,NA,64736.3097809003
2011,1042.31625819026,102146.116658778
2012,448.474941257747,65919.4719466318
2013,1017.96696615587,102140.554265337
2014,196.715299963674,98639.7739731982
2015,NA,58010.55470446
2016,745.015035725252,87760.4162188538
2017,NA,150841.180668418
2018,0.000453592370380379,135111.641069935
2019,NA,148210.372671673
2020,95.1364637635806,138688.394530307
2021,0.00453592370380378,130304.242637227
